"Name","Product_Group__c","Cost_Category__c","Cost_Type__c","ProductCode","Unique_ProductCode__c","IsActive","Product_Category__c","Manual_Processing__c","Product_Name_EN__c"
"hintaparametri Pyrobel 16 EG2, EI30 opaali 25mm","LG","FactoryPurchase","tuotteet","LG-PD9350020","LGPD9350020","true","Product Options","false",""
"hintaparametri MALLI yht kpl väliseinä EI30 asennus","LG","Wages","asennus","LG-PD9350021","LGPD9350021","true","Product Options","false",""
"hintaparametri MALLI yht kpl väliseinä EI30 asennuskuormitus","LG","Manhours","askuormitu","LG-PD9350022","LGPD9350022","true","Services","false",""
"Hintaparametri Handrail bracket 300 + decor profile","LG","FactoryPurchase","tuotteet","LG-PD9370183","LGPD9370183","true","Product Options","false",""
"LAMI 6+4st IG-87 Clear","LG","FactoryPurchase","tuotteet","LG-23950049","LG23950049","true","Product Options","false","LAMI 6+4st IG-87 Clear"
"LAMI 6+4st (Special)","LG","FactoryPurchase","tuotteet","LG-23950094","LG23950094","true","Product Options","false","LAMI 6+4st (Special)"
"LAMI 4+4 (Special)","LG","FactoryPurchase","tuotteet","LG-23950099","LG23950099","true","Product Options","false","LAMI 4+4 (Special)"
"LAMI 4+4ka IG-55 Light brown","LG","FactoryPurchase","tuotteet","LG-23950208","LG23950208","true","Product Options","false","LAMI 4+4ka IG-55 Light brown"
"LAMI 4+4ka IG-50 Opal+Green","LG","FactoryPurchase","tuotteet","LG-23950209","LG23950209","true","Product Options","false","LAMI 4+4ka IG-50 Opal+Green"
"LAMI 4+4ka IG-56 2xGreen","LG","FactoryPurchase","tuotteet","LG-23950210","LG23950210","true","Product Options","false","LAMI 4+4ka IG-56 2xGreen"
"LAMI 5+5ka IG-88 Clear GROOVE","LG","FactoryPurchase","tuotteet","LG-23952214","LG23952214","true","Product Options","false","LAMI 5+5ka IG-88 Clear GROOVE"
"LAMI 5+5ka OpalIG 65 GROOVE","LG","FactoryPurchase","tuotteet","LG-23952216","LG23952216","true","Product Options","false","LAMI 5+5ka OpalIG 65 GROOVE"
"LAMI 5+5ka IG-80 Light opal GROOVE","LG","FactoryPurchase","tuotteet","LG-23952217","LG23952217","true","Product Options","false","LAMI 5+5ka IG-80 Light opal GROOVE"
"LAMI 4ka+4st IG-72 Green","LG","FactoryPurchase","tuotteet","LG-23950211","LG23950211","true","Product Options","false","LAMI 4ka+4st IG-72 Green"
"LAMI 4+4ka IG-73 Green","LG","FactoryPurchase","tuotteet","LG-23950212","LG23950212","true","Product Options","false","LAMI 4+4ka IG-73 Green"
"LAMI 4ka+4st IG-87 Clear","LG","FactoryPurchase","tuotteet","LG-23950213","LG23950213","true","Product Options","false","LAMI 4ka+4st IG-87 Clear"
"LAMI 4+4ka Opal IG 65","LG","FactoryPurchase","tuotteet","LG-23950216","LG23950216","true","Product Options","false","LAMI 4+4ka Opal IG 65"
"LAMI 4+4ka IG-80 Light opal","LG","FactoryPurchase","tuotteet","LG-23950217","LG23950217","true","Product Options","false","LAMI 4+4ka IG-80 Light opal"
